"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004877;1;12;"Casa";"urbana";"60000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004877;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"veiculo";"40000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004880;1;12;"Casa";"imovel urbano tipo casa";"120000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004880;2;12;"Casa";"urbano";"90000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004881;1;12;"Casa";"casa em alvenaria";"80000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06041";"ITAUBAL";30002004882;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"carro";"35000,00";"18/09/2024";"08:39:20"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004895;1;12;"Casa";"CASA RESIDENCIAL ADQUIRIDA DA INCORPORADORA FENIX LTDA CNPJ 08.610.783/000137, COM ENTRADA DE R$ 1.987,07, MAIS R$ 15.362,93 COM FGTS E O RESTANTE FINANCIADA PELA CEF NO VALOR DE 156.150,00 EM 420 MES";"173500,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004895;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEICULO CELTA LIFE 1.0 ANO 2010/2011 PLACA KIL 6454 DA EMPRESA R. C. CAVALCANTE CNPJ 15.083.448/0001-93";"12000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004897;1;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"VEÍCULO CAMINHONETE CHEVROLET";"50000,00";"18/09/2024";"14:41:39"
"06/10/2024";"16:30:40";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AP";"06050";"MACAPÁ";30002004901;8;63;"Dinheiro em espécie - moeda nacional";"DINHEIRO EM MOEDA NACIONAL NO VALOR DE R$ 186,665,50 ADQUIRIDOS ATRAVES DA VENDA DO OURO DE PROPRIEDADE PROPRIA EM 2011";"280000,00";"18/09/2024";"14:41:39"
